id,source_unique_tokens,source_word_count,source_line_count,mean_text_only_neighbor_cosine_similarity,mean_demographics_only_neighbor_cosine_similarity,mean_combined_neighbor_cosine_similarity,add_count_observed,add_count_marginal_crps,add_count_text_only_crps,add_count_demographics_only_crps,add_count_combined_crps,delete_count_observed,delete_count_marginal_crps,delete_count_text_only_crps,delete_count_demographics_only_crps,delete_count_combined_crps,word_count_observed,word_count_marginal_crps,word_count_text_only_crps,word_count_demographics_only_crps,word_count_combined_crps,line_count_observed,line_count_marginal_crps,line_count_text_only_crps,line_count_demographics_only_crps,line_count_combined_crps,source_similarity_observed,source_similarity_marginal_crps,source_similarity_text_only_crps,source_similarity_demographics_only_crps,source_similarity_combined_crps
train_0102,65,113,1,0.153720,0.401437,0.157532,5.000000,20.381649,19.695261,20.722406,18.476669,65.000000,11.357213,9.844558,9.965617,9.444358,5.000000,72.313049,57.324032,70.953709,53.942014,1.000000,0.541462,0.760308,0.315725,0.657385,0.000000,0.125540,0.120135,0.112525,0.116428
train_0103,33,87,4,0.191649,0.374732,0.190611,62.000000,17.192604,21.298818,17.013402,21.353823,17.000000,5.730371,4.805467,4.764334,4.937019,122.000000,23.733661,24.859192,19.897943,25.478422,1.000000,2.373136,2.344289,2.331684,2.315416,0.296651,0.070137,0.054237,0.058110,0.056606
train_0104,20,20,20,0.123702,0.312657,0.126958,78.000000,28.556957,30.610472,31.647002,30.539630,15.000000,0.648155,0.622368,0.819104,0.654319,162.000000,106.532453,93.858578,111.983315,94.123229,29.000000,6.665556,6.823525,8.032771,7.034862,0.032967,0.094383,0.075317,0.086435,0.076384
train_0105,158,285,20,0.221807,0.397430,0.220420,63.000000,17.814198,17.478109,19.835564,17.390549,103.000000,9.834324,12.006536,8.451453,12.515420,196.000000,56.787937,40.172096,60.163007,39.644693,20.000000,1.030674,1.284243,1.210968,1.276483,0.274428,0.058742,0.050341,0.054622,0.051817
train_0106,21,21,1,0.150560,0.423364,0.158742,14.000000,12.476600,12.227440,10.762135,12.772641,12.000000,2.552021,2.609915,2.462691,2.380929,27.000000,10.869240,10.626392,10.061169,10.068489,1.000000,0.541462,0.400566,0.763204,0.420687,0.291667,0.067468,0.055758,0.061010,0.054841
train_0107,28,32,1,0.121126,0.442724,0.130319,34.000000,6.112022,6.802603,5.605865,6.583498,24.000000,1.688594,1.514264,1.659382,1.750469,52.000000,15.515788,20.284273,17.968814,18.805577,12.000000,7.554660,7.784350,8.046890,7.797607,0.071429,0.064628,0.061252,0.061974,0.069377
train_0108,37,62,1,0.178296,0.469782,0.180426,33.000000,6.017432,7.065180,6.085511,6.730421,28.000000,1.194838,1.340365,1.232302,1.282914,86.000000,18.556191,18.570468,18.408003,18.577718,1.000000,0.541462,0.349358,0.543032,0.471321,0.283784,0.063420,0.054830,0.059873,0.051431
train_0109,24,65,20,0.156591,0.428039,0.163460,23.000000,7.071438,5.922218,5.942817,5.506606,21.000000,1.699029,2.057771,1.912318,2.149289,73.000000,14.167965,13.283123,14.035819,12.553011,19.000000,1.503626,1.621433,1.391780,1.703655,0.579710,0.310452,0.248950,0.290777,0.243303
train_0110,64,94,1,0.177818,0.400124,0.180057,19.000000,8.949732,12.470574,9.919552,11.980525,52.000000,2.646969,2.673554,2.545345,2.413315,77.000000,15.926265,21.151371,13.420375,20.326970,1.000000,0.541462,0.339740,0.368242,0.319531,0.187135,0.032733,0.026376,0.032848,0.026512
train_0111,59,113,1,0.208479,0.498635,0.211954,26.000000,6.233638,5.928190,5.057058,5.962757,45.000000,1.914124,2.061842,2.099116,2.060074,90.000000,17.274988,17.913915,15.393232,17.569876,1.000000,0.541462,0.721418,0.566863,0.723264,0.305419,0.075190,0.071330,0.056143,0.067551
train_0112,79,137,1,0.187694,0.442408,0.191457,111.000000,58.488041,62.224088,57.931700,62.066095,49.000000,6.512499,7.678306,7.601779,7.946577,281.000000,112.392280,130.655101,111.230671,129.910596,21.000000,14.378677,14.667172,14.256329,14.819576,0.239234,0.043941,0.045751,0.045240,0.045522
train_0113,50,94,1,0.156626,0.395733,0.160082,39.000000,6.949822,7.065196,8.121455,6.887468,36.000000,1.812753,1.807217,1.803187,1.817615,99.000000,14.318229,17.216109,14.283408,17.267092,19.000000,12.662538,13.297269,12.779037,12.867601,0.321244,0.084949,0.067578,0.071810,0.069696
train_0114,111,206,1,0.205988,0.387112,0.207035,32.000000,5.963380,6.578426,5.294444,6.382055,96.000000,7.171595,7.426871,6.278952,7.244224,67.000000,100.189856,77.615544,85.682444,75.722451,1.000000,0.541462,0.386611,0.289624,0.386628,0.139194,0.036298,0.043354,0.036073,0.043195
train_0115,56,79,1,0.149660,0.316514,0.152144,146.000000,93.351336,87.643416,95.465606,91.786179,36.000000,3.778351,3.971706,3.640998,4.208180,230.000000,118.874375,122.926728,117.552499,126.391330,20.000000,13.432773,12.905474,12.653583,12.854118,0.122977,0.040811,0.038809,0.054205,0.041579
train_0116,3,3,1,0.081402,0.383789,0.106189,58.000000,14.814333,17.402343,15.411480,16.452341,2.000000,0.163989,0.157877,0.188680,0.150957,77.000000,42.007342,43.283366,42.705401,35.904998,1.000000,0.541462,0.906591,0.443451,0.830993,0.025000,0.101411,0.109419,0.103895,0.106969
train_0117,35,50,21,0.152386,0.489875,0.161144,9.000000,16.706139,13.813185,15.834352,13.429519,28.000000,1.323460,1.694752,1.348421,1.600128,16.000000,19.878339,17.847496,18.651975,16.152659,16.000000,4.017026,4.068974,3.955806,3.975865,0.121212,0.041431,0.051858,0.036391,0.049324
train_0118,85,123,20,0.215821,0.400398,0.215053,102.000000,49.907347,47.062308,56.779848,46.577120,64.000000,2.747900,2.840377,2.853533,2.738015,213.000000,62.353408,79.527125,73.739864,78.340700,20.000000,1.030674,1.294164,1.061731,1.322187,0.130952,0.038440,0.047815,0.042915,0.048788
train_0119,68,101,20,0.174438,0.407329,0.176319,17.000000,10.233458,10.655855,10.216193,10.459013,62.000000,6.523262,5.453251,6.457139,5.459136,23.000000,48.132832,40.422716,39.797290,40.316348,1.000000,14.300347,15.800857,15.889114,15.810831,0.080645,0.058920,0.054810,0.052856,0.054115
train_0120,43,86,20,0.197412,0.462024,0.198311,25.000000,6.463358,5.333925,5.604839,5.145554,32.000000,1.413802,1.596843,1.545468,1.531252,100.000000,15.868069,18.270729,18.142335,18.124503,20.000000,1.030674,1.172033,0.935140,1.121477,0.494624,0.228997,0.202547,0.231665,0.208257
