id,source_unique_tokens,source_word_count,source_line_count,mean_source_form_neighbor_similarity,mean_text_only_neighbor_cosine_similarity,add_count_observed,add_count_marginal_crps,add_count_source_form_only_crps,add_count_text_only_crps,delete_count_observed,delete_count_marginal_crps,delete_count_source_form_only_crps,delete_count_text_only_crps,word_count_observed,word_count_marginal_crps,word_count_source_form_only_crps,word_count_text_only_crps,line_count_observed,line_count_marginal_crps,line_count_source_form_only_crps,line_count_text_only_crps,source_similarity_observed,source_similarity_marginal_crps,source_similarity_source_form_only_crps,source_similarity_text_only_crps
train_0134,80,131,1,0.734868,0.158004,29.000000,5.976893,7.417911,6.025993,69.000000,5.060016,4.653559,4.218819,96.000000,21.554750,16.828762,17.309635,1.000000,0.541462,0.743492,0.480051,0.334802,0.094169,0.084306,0.096616
train_0135,46,53,20,0.557266,0.121150,68.000000,21.111346,23.603499,20.515343,33.000000,1.695299,1.612502,1.751066,125.000000,46.588172,48.815899,49.814463,20.000000,1.030674,1.486013,0.947728,0.101124,0.049420,0.060433,0.052419
train_0136,65,84,1,0.711162,0.173906,20.000000,8.395703,8.638944,10.269782,63.000000,9.428330,9.075527,9.251578,22.000000,36.540651,34.988748,23.295092,1.000000,0.541462,1.101262,0.495003,0.037736,0.090330,0.099398,0.106509
train_0137,77,137,20,0.656639,0.239478,30.000000,5.963380,6.499694,6.984322,71.000000,8.015800,6.812210,7.644622,91.000000,27.071799,22.917999,22.361781,1.000000,14.300347,9.744558,12.276899,0.412281,0.154630,0.139434,0.130143
train_0138,23,23,19,0.500074,0.128855,19.000000,8.949732,7.328929,7.506160,15.000000,1.428072,1.167577,1.278673,64.000000,23.739381,17.147493,22.333297,20.000000,1.583622,2.097815,1.636649,0.183908,0.032577,0.034784,0.036260
train_0139,41,78,1,0.710491,0.163749,40.000000,7.193054,7.475218,8.000957,30.000000,1.405910,1.371174,1.402348,106.000000,20.495924,19.955734,22.006272,1.000000,0.541462,1.447371,0.578902,0.293478,0.068422,0.067709,0.064890
train_0140,12,12,12,0.365921,0.063394,18.000000,9.557813,8.290342,6.957451,10.000000,0.585542,0.626093,0.678096,39.000000,15.179136,11.492661,15.348708,1.000000,8.175172,8.305363,8.505698,0.078431,0.060161,0.039830,0.066650
train_0141,64,105,20,0.707400,0.177064,25.000000,6.463358,7.263956,6.012969,58.000000,5.874919,5.100669,5.285004,36.000000,41.594883,37.359456,30.992416,17.000000,2.706274,2.482835,2.473473,0.070922,0.064970,0.075303,0.079346
train_0142,85,109,1,0.695909,0.156835,60.000000,15.976443,13.718764,13.937118,60.000000,3.388932,3.661040,4.027890,108.000000,14.269673,14.561737,21.823065,1.000000,0.541462,0.721361,0.393318,0.156682,0.033422,0.036841,0.028237
train_0143,85,129,1,0.734875,0.189586,26.000000,6.233638,7.798277,7.662709,71.000000,4.224163,3.708875,3.805162,84.000000,26.521733,19.694223,19.043031,20.000000,13.432773,13.117600,14.433298,0.234742,0.042633,0.035606,0.038250
train_0144,130,246,20,0.474078,0.165590,19.000000,8.949732,11.037928,10.623199,124.000000,17.037865,15.727499,16.621941,25.000000,177.693798,151.078282,155.840382,1.000000,14.300347,9.695505,12.818863,0.036900,0.091030,0.101232,0.107106
train_0145,48,114,20,0.656940,0.174010,49.000000,10.273997,10.330407,9.558241,33.000000,2.196589,2.408303,1.595151,122.000000,14.806630,16.152318,11.486135,20.000000,1.030674,1.796126,1.220117,0.440678,0.179523,0.157350,0.126065
train_0146,61,112,1,0.727094,0.182140,5.000000,20.381649,22.075417,20.469105,58.000000,7.832536,8.114440,8.337125,8.000000,68.903293,70.601593,64.251768,1.000000,0.541462,0.964380,0.930402,0.033333,0.094067,0.112936,0.117833
train_0147,156,284,5,0.415520,0.210069,52.000000,11.652313,9.613483,10.302916,123.000000,5.511750,4.588779,4.486895,137.000000,107.569389,72.898350,78.291448,1.000000,3.054592,3.120946,3.091181,0.185273,0.032614,0.029340,0.028247
train_0148,30,66,15,0.579982,0.167351,43.000000,8.044367,9.433269,8.641364,19.000000,2.206371,1.890073,1.645290,101.000000,23.342147,22.242994,21.912055,19.000000,3.378091,4.498434,3.211967,0.407186,0.150317,0.131436,0.114160
train_0149,49,61,1,0.686085,0.159703,21.000000,7.868700,7.744545,9.275915,48.000000,7.588662,7.870670,6.792012,22.000000,22.685329,25.563640,18.754113,1.000000,0.541462,1.503674,0.578674,0.024096,0.102237,0.105129,0.100254
train_0150,94,169,1,0.682647,0.186876,68.000000,21.111346,19.013297,20.929125,63.000000,4.985173,5.932249,4.785334,175.000000,14.685510,19.233629,18.429761,25.000000,18.364984,18.067832,18.078586,0.308140,0.076808,0.067935,0.063278
